обезьяна, ест бананы
яблоко, что растет на яблоне 
Солнце, что светит днем на небе?
Река, как называется водоем который течет?
Дерево, какое растение имеет ствол и листья?
Море, как называется большое соленое водоем?
Звезда, что светит ночью на небесах?
Гора, как называется высокая природная форма рельефа?
Птица, какое животное умеет летать и имеет перья?
Луна, как называется спутник Земли?
Кошка, какое домашнее животное известно своей независимостью?
Автомобиль, как называется транспортное средство на колесах?
Школа, где дети учатся и получают знания?
Театр, где проходят спектакли и представления?
Футбол, какой вид спорта с мячом и двумя командами?
Часы, что показывает время?
Кофе, какой напиток делают из обжаренных зерен?
Праздник, как называется особый день для торжества?
Сад, где растут цветы и овощи?
Зима, какое время года холодное и снежное?
Музыка, как называется искусство звуков и мелодий?
